[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /block/transaction        --> server/controller.PackTransaction (3 handlers)
[GIN-debug] POST   /block/account            --> server/controller.PackAccount (3 handlers)
[GIN-debug] POST   /block/upload             --> server/controller.AppendBlock (3 handlers)
[GIN-debug] POST   /block/uploadproposal     --> server/controller.MultiCastProposal (3 handlers)
[GIN-debug] POST   /block/witness            --> server/controller.PackTransaction (3 handlers)
[GIN-debug] POST   /block/uploadleader       --> server/controller.AppendBlock (3 handlers)
[GIN-debug] GET    /shard/shardNum           --> server/controller.PreRegister (3 handlers)
[GIN-debug] GET    /shard/height             --> server/controller.GetHeight (3 handlers)
[GIN-debug] GET    /shard/register           --> server/controller.RegisterCommunication (3 handlers)
[GIN-debug] POST   /shard/vote               --> server/controller.SendVote (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8088
[GIN] 2023/09/01 - 18:02:14 | 200 |     341.156µs |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:14 | 200 |     386.793µs |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:14 | 200 |    1.733821ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:14 | 200 |    3.711939ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:14 | 200 |     1.52148ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:14 | 200 |    4.630906ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:14 | 200 |    3.692299ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:14 | 200 |     446.595µs |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:14 | 200 |     224.126µs |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:14 | 200 |    1.320211ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:14 | 200 |     630.583µs |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:14 | 200 |     915.925µs |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:14 | 200 |     954.757µs |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:14 | 200 |     340.049µs |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:14 | 200 |    1.268491ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |    1.215074ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |    1.800198ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |     1.98626ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |    2.048018ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |    1.992416ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |    2.149658ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |    2.067049ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |    2.253043ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |     879.752µs |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:14 | 200 |    2.018615ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |    1.759773ms |       127.0.0.1 | POST     "/block/uploadleader"
